City,Date,Temperature,Humidity,Weather
Ranchi,2026-06-03 15:00:00,33.55,31,Clouds
Ranchi,2026-06-03 18:00:00,32.1,36,Clouds
Ranchi,2026-06-03 21:00:00,30.53,44,Clouds
Ranchi,2026-06-04 00:00:00,29.81,50,Clouds
Ranchi,2026-06-04 03:00:00,35.6,29,Clouds
Ranchi,2026-06-04 06:00:00,40.03,19,Clouds
Ranchi,2026-06-04 09:00:00,40.72,18,Clouds
Ranchi,2026-06-04 12:00:00,34.65,30,Rain
Ranchi,2026-06-04 15:00:00,35.73,26,Clouds
Ranchi,2026-06-04 18:00:00,34.71,29,Clouds
Ranchi,2026-06-04 21:00:00,33.93,29,Clouds
Ranchi,2026-06-05 00:00:00,31.61,34,Clouds
Ranchi,2026-06-05 03:00:00,36.83,25,Clear
Ranchi,2026-06-05 06:00:00,40.34,19,Clear
Ranchi,2026-06-05 09:00:00,41.45,18,Clouds
Ranchi,2026-06-05 12:00:00,38.03,23,Clouds
Ranchi,2026-06-05 15:00:00,35.51,28,Clouds
Bhopal,2026-05-31 18:00:00,31.13,30,Clouds
Bhopal,2026-05-31 21:00:00,30.16,35,Clouds
Bhopal,2026-06-01 00:00:00,26.71,40,Clouds
Bhopal,2026-06-01 03:00:00,28.79,38,Clouds
Bhopal,2026-06-01 06:00:00,32.99,28,Clouds
Bhopal,2026-06-01 09:00:00,39.29,20,Clear
Bhopal,2026-06-01 12:00:00,38.83,18,Clouds
Bhopal,2026-06-01 15:00:00,30.94,41,Clouds
Bhopal,2026-06-01 18:00:00,29.33,41,Rain
Bhopal,2026-06-01 21:00:00,28.42,44,Rain
Bhopal,2026-06-02 00:00:00,27.49,46,Rain
Bhopal,2026-06-02 03:00:00,31.97,38,Clear
Bhopal,2026-06-02 06:00:00,36.17,29,Clear
Bhopal,2026-06-02 09:00:00,39.22,21,Clear
Bhopal,2026-06-02 12:00:00,31.34,42,Rain
Bhopal,2026-06-02 15:00:00,31.23,34,Rain
Bhopal,2026-06-02 18:00:00,29.61,41,Rain
Bhopal,2026-06-02 21:00:00,29.71,40,Rain
Bhopal,2026-06-03 00:00:00,28.47,53,Clouds
Bhopal,2026-06-03 03:00:00,31.69,40,Clouds
Bhopal,2026-06-03 06:00:00,36.2,31,Clouds
Bhopal,2026-06-03 09:00:00,37.91,26,Clouds
Bhopal,2026-06-03 12:00:00,31.45,44,Clouds
Bhopal,2026-06-03 15:00:00,29.74,46,Rain
Bhopal,2026-06-03 18:00:00,29.2,51,Clouds
Bhopal,2026-06-03 21:00:00,28.94,51,Clouds
Bhopal,2026-06-04 00:00:00,28.26,56,Clouds
Bhopal,2026-06-04 03:00:00,31.1,50,Rain
Bhopal,2026-06-04 06:00:00,36.41,33,Clouds
Bhopal,2026-06-04 09:00:00,38.79,26,Clouds
Bhopal,2026-06-04 12:00:00,30.55,52,Clouds
Bhopal,2026-06-04 15:00:00,28.2,50,Rain
Bhopal,2026-06-04 18:00:00,28.24,49,Rain
Bhopal,2026-06-04 21:00:00,28.56,53,Clouds
Bhopal,2026-06-05 00:00:00,28.39,60,Clouds
Bhopal,2026-06-05 03:00:00,31.41,49,Clouds
Bhopal,2026-06-05 06:00:00,36.02,36,Clouds
Bhopal,2026-06-05 09:00:00,38.43,29,Clouds
Bhopal,2026-06-05 12:00:00,33.07,45,Clouds
Bhopal,2026-06-05 15:00:00,31.71,44,Rain
Nagpur,2026-05-31 18:00:00,30.01,48,Clouds
Nagpur,2026-05-31 21:00:00,30.63,44,Clouds
Nagpur,2026-06-01 00:00:00,30.69,42,Clouds
Nagpur,2026-06-01 03:00:00,34.96,30,Clouds
Nagpur,2026-06-01 06:00:00,38.53,21,Clouds
Nagpur,2026-06-01 09:00:00,41.39,17,Clear
Nagpur,2026-06-01 12:00:00,37.39,22,Rain
Nagpur,2026-06-01 15:00:00,37.93,21,Rain
Nagpur,2026-06-01 18:00:00,35.9,26,Clouds
Nagpur,2026-06-01 21:00:00,32.06,37,Rain
Nagpur,2026-06-02 00:00:00,32.54,37,Clouds
Nagpur,2026-06-02 03:00:00,34.37,32,Clouds
Nagpur,2026-06-02 06:00:00,38.88,22,Clouds
Nagpur,2026-06-02 09:00:00,41.38,18,Clear
Nagpur,2026-06-02 12:00:00,38.03,24,Rain
Nagpur,2026-06-02 15:00:00,38.03,23,Clouds
Nagpur,2026-06-02 18:00:00,32.72,41,Clouds
Nagpur,2026-06-02 21:00:00,31.14,44,Rain
Nagpur,2026-06-03 00:00:00,31.16,38,Rain
Nagpur,2026-06-03 03:00:00,34.08,32,Rain
Nagpur,2026-06-03 06:00:00,38.7,24,Clouds
Nagpur,2026-06-03 09:00:00,41.25,20,Clouds
Nagpur,2026-06-03 12:00:00,39.24,23,Rain
